"PartitionKey","RowKey","Timestamp","DeviceId","SensorId","Type","Unit","Value","ReceivedAtUtc"
"hivewatch-esp32-board2","202607111620488160622-420cd861cf6f4da9bb3739131faa0fff","2026-07-11T16:20:48.975439+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.31","2026-07-11T16:20:48.816062+00:00"
"hivewatch-esp32-board2","202607111625517567891-3037d02110f7424c8825f4642eebfa65","2026-07-11T16:25:51.850836+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.37","2026-07-11T16:25:51.756789+00:00"
"hivewatch-esp32-board2","202607111630525320406-fa3a600b803b457ba87853698b8a2252","2026-07-11T16:30:52.632886+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.37","2026-07-11T16:30:52.532040+00:00"
"hivewatch-esp32-board2","202607111635533836346-5329f4b3d0ea49e7bcca360e50babbc7","2026-07-11T16:35:53.480976+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.44","2026-07-11T16:35:53.383634+00:00"
"hivewatch-esp32-board2","202607111640529586313-0690097db7dc4ecebc35ed4d42ad0942","2026-07-11T16:40:53.058301+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.44","2026-07-11T16:40:52.958631+00:00"
"hivewatch-esp32-board2","202607111645549550589-9211fb5832da4303b45321a9fd1b61a4","2026-07-11T16:45:55.057223+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.44","2026-07-11T16:45:54.955058+00:00"
"hivewatch-esp32-board2","202607111650556486518-1bacc132589f4158939f3ed4ea066465","2026-07-11T16:50:55.747650+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.37","2026-07-11T16:50:55.648651+00:00"
"hivewatch-esp32-board2","202607111655564196452-5dc7382cd1764bd08b8e23377066b93c","2026-07-11T16:55:56.520031+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.37","2026-07-11T16:55:56.419645+00:00"
"hivewatch-esp32-board2","202607111700573475813-e164bc2cc7c34aadab6dc8e6154451ab","2026-07-11T17:00:57.444554+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.25","2026-07-11T17:00:57.347581+00:00"
"hivewatch-esp32-board2","202607111705580702697-01d94f9dbba04bcfbc6c7db971d77f29","2026-07-11T17:05:58.192345+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.19","2026-07-11T17:05:58.070269+00:00"
"hivewatch-esp32-board2","202607111710588259134-b6d57c3aff60465c9e98e6ce9b0aadc9","2026-07-11T17:10:58.932414+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.12","2026-07-11T17:10:58.825913+00:00"
"hivewatch-esp32-board2","202607111715597246399-c877a29138b549f4b42741c5ea6fd2a3","2026-07-11T17:15:59.834931+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.0","2026-07-11T17:15:59.724639+00:00"
"hivewatch-esp32-board2","202607111721006982625-1fae46e92ca84390892ec53b470a15e1","2026-07-11T17:21:00.794126+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","26.0","2026-07-11T17:21:00.698262+00:00"
"hivewatch-esp32-board2","202607111726004860899-19b6411ec9ab4ec68cd1b27feeb810b0","2026-07-11T17:26:00.513614+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.94","2026-07-11T17:26:00.486089+00:00"
"hivewatch-esp32-board2","202607111731023160418-4797401190ce40cbba3f4d307a56bdb2","2026-07-11T17:31:02.416067+00:00","hivewatch-esp32-board2","ds18b20-1","temperature","C","25.94","2026-07-11T17:31:02.316041+00:00"
